ID,hc_related,description
1,1,"Fellow at HMS Center for Bioethics, Nurse Practitioner, Bioethicist, Husband and Dad. Amateur lobsterman. Blogger for Petrie-Flom. Opinions are my own."
2,0,"Executive Producer, "
3,1,Certified Neonatal Nurse Practitioner/ Academic 
4,0,Founder and content curator of Alpha HT. Alpha is the premier alternative development platform for Haiti and other pre-frontier markets in the Americas.
5,1,Promoting a Safe and Drug Free Roanoke Valley
6,0,PROFESSIONAL ACTOR AT MACHACHARI TV SHOW
7,1,PT-MPT|| Neuroscience ~~ Such a mysterious place
8,1,Passionate about racial justice & reproductive health. Lover of pandas. JD/MPH. Arizona girl. Proud three-time 
9,1,"Health, Wellness, and Fitness"
10,0,"Houseofdona film production company...  of movies, comedy and many more"
11,1,Official twitter of Dr abdirahman who service humanitarian and health .  Bachelor of puplic health 
12,0,Real man always believe In Yourself and put your trust in God. Love is my religion Peace.
13,0,Nutricionista Clinico Postgrado Pontificia U.Javeriana. Bogot    Especialista Nios ~Adultos.Consulta Y Asesorias Online +584121107514
14,0,Allahu robi
15,0,Professor of cooking and confections. Thanks for stopping by!
16,1,An emergency medical persomnel.
17,1,"History Health Fitness & Wellness Humanitarian ""The hardest thing to learn in life is which bridge to cross and which bridge to burn."" - David Russell"
18,1,"MD candidate, "
19,1,Black-owned non-profit organization empowering our communities by making medicine/health easier to understand. 
20,0,A SOCIALIST/ART LOVER/PAINTER/TRAVELER/MOTIVATOR /POETRY-RANDOM THOUGHTS!!!
21,1,"Society for Advanced Spinal Intervention aims to educate, train and credential physicians on a worldwide scale."
22,0,fanatica de la musica
23,1,Synergy for a healthier world
24,0,Writer/Reporter 
25,1,"Feng Shui for Modern Living is an online magazine that explores Feng Shui and the secrets of Health, Wealth and Happiness. Great articles, tips and advice."
26,0,Music and Dogs
27,0,live the moment
28,0,"Hi,I am Tanjila  Meghla .Nickname is Era.I am a professional graphic designer certified by George Washington University, USA."
29,0,muscican at simple blacks band
30,0,I'm a simple and calm.. Easy to be with... And I like being with  top top people........ Because im so special.....
31,1,Hematology/Oncology fellow. My interests include 
32,1,"University of Houston-Clear Lake student, healthcare professional"
33,1,plastic surgen
34,1,Biohealth healthcare. Pharma enthusiast.
35,1,Florida Eye Specialists is Northeast Florida's largest group of Board Certified Fellowship Trained Surgeons. The Premier Center for all of your Eye Care needs.
36,0,"Chunky chocolate girl. Fun loving love all electronics, knowledge lover avid book reader. Love other cultures people from eveywhere."
37,0,Rhode Islander. Gentleman. Scholar.
38,1,", Family, Oncology Research, Photography, Traveling, Texans!"
39,0,"Nama sahrudin ,lahir bima ,tgl 10 maret 1985 ntb"
40,0,Ifsa turk lezbiyen porno sex twerk videoariniz gizli cekim fotalari gizlilik icin atabilirsinz paylasilir istendigi takdirde geri kaldirilir
41,0,"Mom, Design Enthusiast, Investor, UrbanBaby Co-Founder, Set Designer, Esquire Fashion Editor"
42,1,"FeminaCafe is project about Health,Animals,Fitness,Celebrities, and News. Website: "
43,0,PRESIDENT
44,0,"Expert-driven, practical online "
45,0,Sports Soccer NFL Sports WWE NBA Track & Field Olympics Wrestling MLS Fantasy sports Track & Field Basketball
46,0,San Diego native 
47,1,A comprehensive health care service delivery network of the Provincial Government of Tarlac with medical specialists and sub-specialists as frontliners
48,1,"Official account of the Italian Society of Immunology, Clinical Immunology and Allergology. Tweets by the SIICA Junior Faculty."
49,1,"Rudy Andriani M.D. | New York, New York | Retired Urologist | Passionate about "
50,0,Postdoctoral Fellow at 
51,1,Cardiovascular surgeon
52,0,"STREET TEAM FOR ALL BLACK ROSE ENT ARTISTS!
GET YA PROMO RIGHT!
"
53,0,Safety. Camaraderie. Environment
54,1,Physician from Riyadh
55,1,I'm a biomedical researcher currently studying cellular adaptation to metallic environments.
56,1,"GI dietitian@TJUH in Phila,Pa17+yearsRD@Celiaccenter&Fattylivercenter#weightmanagement#glutenfree#lowfodmap#ibd#ibs#gastroparesisdietspecialist"
57,1,"I'm Matt, and I work in the chemical deposition industry with an emphasis on decontamination strategies."
58,0,Editorial Intern at Ms. Magazine
59,1,Our CLIA & ISO 15189:2012 accredited DNA testing lab offers 
60,1,Find everything you need to know about HCG USA | HCG for Weight loss | HCG Reviews and which HCG Diet is the right one for you! 
61,1,Emergency Medicine Specialist
62,1,"Fitness & health expert
this program will make you look younger"
63,1,"Medical City of McKinney is a state-of-the-art hospital in McKinney, TX"
64,0,.genti
65,0,"my name is Grace from United Kingdom ,"
66,1,"A multi-disciplinary group of worldwide experts focused on education and management in atherosclerosis, lipid disorders and their complications. "
67,1,Physician/Activist/MandelaWashington Fellow2016/BOBA
68,0,Insurance Agent for 25 yrs. I love my Country and I am 100% a Trump Deplorable.
69,0,Dra
70,1,I am an advanced practice nurse and consultant holistically advocating for optimum health within the context of one's personal health values.
71,0,ShoeBrela is the original umbrella for your Shoes. Made with high quality materials to keep your feet and shoes clean.
72,1,"Associate Prof. of Urology, Medical Education, Obstetrics & Gynecology (Female Pelvic Medicine & Reconstructive Surgery) "
73,1,Alra Care Products are scientifically formulated to soothe and relieve the effects of chemotherapy and radiation treatment which cause serious skin irritations.
74,1,Paradise Community Living (PCL) Health Care is the Premier international medical tourism agency made up of accredited 
75,1,#health#fitness#weightloss#diet#ebook#book#followme#followback#nutrition#cancer#diease#heart
76,1,Registered Nurse currently continuing education 
77,1,"Medical Staffing & Healthcare  Professional referral to ;Hospitals ,Medical clinics, Nursing homes and Psychiatric facilities."
78,0,Laugh For The Health of It 
79,0,the love of your life
80,1,medicine  
81,0,President of 
82,0,                        !!
83,0,SPTE 
84,0,VP Client Solutions 
85,1,"Board Certified Massage Therapist @ Healing Arts Indy, downtown. Indiana MT21003793, BCTMB 592185-10, AMTA Professional Member; specialize in pain relief."
86,1,Just minding my own ignorance. No political affiliation but centrist traits have been noted. Healthcare & Scientific innovation are my life. Own views
87,0,"Specialty Investment Bank | Origination, Sales, Trading, Remarketing, Advisory of Debt Products, Fixed Income, Equity Securities | Nonprofit & Corporate Banking"
88,1,ACGME & AOA Accredited National Family Med Residency Program & Teaching Health Center. Proud to be training family med residents in urban underserved DC.
89,0,Just mommy & her little hunny bun 
90,0,"Programmer, Designer, Thinker, Innovator."
91,0,Bio
92,1,"Founder of Dynavision.  Manufacturer of cutting edge high performance\rehab evaluation, training and  measurement devices."
93,1,Hospitalist-Internal Medicine
94,0,Islam is the Best - Proud that I am Muslim
95,0,SocialMedicine.it  il SocialNetwork per soli medici.
96,1,BA(Hons) Media Studies BNU
97,0,Prof 
98,0,Be Unforgettable.
99,0,"Politically inclined, One of d bravest of mankind's, Lover of History, Cutest and handsomely endowed."
100,0,notice me Ice T
101,0,Pondering great philosophies.
102,0,"Retired, Conservative,Dgt. of CG Capt, Niece of Baatan POW, Catholic, N.R.A., Patriot Guard, Pro-Life, Follow doesn't mean agree"
103,1,Hope in Motions Walk & Run supports the Stamford Hospitals Bennett Cancer Center. The event is held annually in June on National Cancer Survivors Day.
104,0,born to learn
105,0,Me: a definition of Awesome 
106,0,I am in a relationship with Lisa Serio and I'm planning to marry her. I like talking with Crystal Hendricks and others on Facebook and play Candy Crush Soda
107,0,"My Name is Kaiya Galloway 
I am 2 Years Old 
I have Acute Lymphoblastic Leukemia
I love playing with my Big Brothers and my Doggies"
108,0,Profesora de francs y tb de ingls -  NO MIRA TELEVISIN
109,1,"Health Informatician. Interests include dogs, nature, food, fibre art, beauty "
